"UserID","Group","HasRAF","RAFBonusYes","RAFBonusCount","RAFBonusCash","HasMutualFriend","RiskScore"
1,1,0,FALSE,0,0,1,37.2205286237059
2,1,0,FALSE,0,0,1,10.5211990899514
3,1,0,FALSE,0,0,0,2.5850174079978
4,1,0,FALSE,0,0,0,6.19495751507071
5,1,0,FALSE,0,0,0,10.5224154798657
6,1,0,FALSE,0,0,0,4.93161166984186
7,1,0,FALSE,0,0,0,4.91963736892465
8,1,0,FALSE,0,0,1,3.78322492658382
9,1,0,FALSE,0,0,1,10.7687627888438
10,1,0,FALSE,0,0,0,20.3300403298249
11,1,0,FALSE,0,0,0,61.3543856232568
12,1,0,FALSE,0,0,0,22.3120851424877
13,1,0,FALSE,0,0,0,36.9132141311808
14,1,0,FALSE,0,0,0,8.59407239039901
15,1,0,FALSE,0,0,1,10.8842636399702
16,1,0,FALSE,0,0,0,108.361806430956
17,1,0,FALSE,0,0,0,5.35879106684338
18,1,0,FALSE,0,0,0,56.9632262893563
19,1,0,FALSE,0,0,0,79.7326393662506
20,1,0,FALSE,0,0,1,35.0577758025908
21,1,0,FALSE,0,0,0,11.8029136193643
22,1,0,FALSE,0,0,1,13.0055776170929
23,1,0,FALSE,0,0,0,14.3071704803352
24,1,0,FALSE,0,0,0,29.6090942850527
25,1,0,FALSE,0,0,0,7.57249219937212
26,1,0,FALSE,0,0,0,1.32531180477636
27,1,0,FALSE,0,0,0,9.25696574482167
28,1,0,FALSE,0,0,0,5.82533179020008
29,1,0,FALSE,0,0,0,30.2577636275229
30,1,0,FALSE,0,0,0,70.755891381564
31,1,0,FALSE,0,0,0,45.8585361821426
32,1,1,FALSE,0,0,1,6.40148275871222
33,1,0,FALSE,0,0,0,6.2734940556843
34,1,0,FALSE,0,0,0,20.0616370102814
35,1,0,FALSE,0,0,0,12.1401697238766
36,1,0,FALSE,0,0,0,41.7143920300441
37,1,0,FALSE,0,0,0,0.9
38,1,0,FALSE,0,0,0,24.8386690691548
39,1,0,FALSE,0,0,0,14.0692275340734
40,1,0,FALSE,0,0,0,8.96838691211124
41,1,0,FALSE,0,0,0,7.78110524291405
42,1,0,FALSE,0,0,0,7.98970178178834
43,1,0,FALSE,0,0,0,5.91169459514657
44,1,1,FALSE,0,0,1,11.0547098004425
